Disease,Specialization,Doctor,User Rating,Severity,Days with Disease,Free Time
Heart attack,Cardiologist,Dr. White,4.5,Moderate,15,2024-04-27 14:00:00
Heart attack,Cardiologist,Dr. Taylor,4.2,Severe,20,2024-04-23 15:00:00
Varicose veins,Cardiologist,Dr. Hernandez,4.6,Mild,12,2024-04-23 12:00:00
Varicose veins,Cardiologist,Dr. Kim,4.8,Moderate,17,2024-04-27 15:00:00
Varicose veins,Cardiologist,Dr. Martinez,4.4,Severe,22,2024-05-01 14:00:00
Hypothyroidism,Endocrinologist,Dr. Brown,4.7,Mild,9,2024-04-28 15:00:00
Hypothyroidism,Endocrinologist,Dr. Jones,4.5,Moderate,14,2024-04-30 12:00:00
Hypothyroidism,Endocrinologist,Dr. Anderson,4.2,Severe,19,2024-04-29 10:00:00
Hyperthyroidism,Endocrinologist,Dr. Wilson,4.6,Mild,12,2024-04-28 16:00:00
Hyperthyroidism,Endocrinologist,Dr. Perez,4.8,Moderate,17,2024-04-28 13:00:00
Hyperthyroidism,Endocrinologist,Dr. Nguyen,4.4,Severe,22,2024-04-30 09:00:00
Hypoglycemia,Endocrinologist,Dr. Lee,4.7,Mild,11,2024-05-03 12:00:00
Hypoglycemia,Endocrinologist,Dr. Rodriguez,4.5,Moderate,16,2024-04-28 14:00:00
Hypoglycemia,Endocrinologist,Dr. White,4.2,Severe,21,2024-04-27 15:00:00
Osteoarthristis,Rheumatologist,Dr. Taylor,4.6,Mild,13,2024-04-28 09:00:00
Osteoarthristis,Rheumatologist,Dr. Hernandez,4.8,Moderate,18,2024-05-02 16:00:00
Osteoarthristis,Rheumatologist,Dr. Kim,4.3,Severe,23,2024-05-01 17:00:00
Arthritis,Rheumatologist,Dr. Brown,4.7,Mild,10,2024-04-27 15:00:00
Arthritis,Rheumatologist,Dr. Jones,4.5,Moderate,15,2024-05-03 16:00:00
Arthritis,Rheumatologist,Dr. Anderson,4.2,Severe,20,2024-04-30 17:00:00
(vertigo) Paroxysmal Positional Vertigo,Neurologist,Dr. Wilson,4.6,Mild,12,2024-05-01 11:00:00
(vertigo) Paroxysmal Positional Vertigo,Neurologist,Dr. Perez,4.8,Moderate,17,2024-04-24 09:00:00
(vertigo) Paroxysmal Positional Vertigo,Neurologist,Dr. Nguyen,4.4,Severe,22,2024-04-26 13:00:00
Acne,Dermatologist,Dr. Lee,4.7,Mild,11,2024-05-03 12:00:00
Acne,Dermatologist,Dr. Rodriguez,4.5,Moderate,16,2024-05-01 12:00:00
Acne,Dermatologist,Dr. White,4.2,Severe,21,2024-05-03 17:00:00
Urinary tract infection,Urologist,Dr. Taylor,4.6,Mild,13,2024-04-24 12:00:00
Urinary tract infection,Urologist,Dr. Hernandez,4.8,Moderate,18,2024-04-28 12:00:00
Urinary tract infection,Urologist,Dr. Kim,4.3,Severe,23,2024-04-24 13:00:00
Psoriasis,Dermatologist,Dr. Brown,4.7,Mild,9,2024-04-25 12:00:00
Psoriasis,Dermatologist,Dr. Jones,4.5,Moderate,14,2024-04-30 14:00:00
Psoriasis,Dermatologist,Dr. Anderson,4.2,Severe,19,2024-04-30 10:00:00
Impetigo,Dermatologist,Dr. Wilson,4.6,Mild,12,2024-04-24 16:00:00
Impetigo,Dermatologist,Dr. Perez,4.8,Moderate,17,2024-04-28 14:00:00
Impetigo,Dermatologist,Dr. Nguyen,4.3,Severe,22,2024-04-30 11:00:00
Hypertension ,Cardiologist,Dr. Lee,4.7,Mild,11,2024-04-28 12:00:00
Hypertension ,Cardiologist,Dr. Rodriguez,4.5,Moderate,16,2024-04-25 11:00:00
Hypertension ,Cardiologist,Dr. White,4.2,Severe,21,2024-04-24 14:00:00
